,close,contract,high,low,open,source,time,timestamp,volume
0,7809.9,okef/btc.usd.n,7809.98,7764.45,7781.48,,2019-06-05T21:00:00+08:00,1559739600,2206
1,7792.56,okef/btc.usd.n,7807.92,7780.55,7803.63,,2019-06-05T21:15:00+08:00,1559740500,2408
2,7790.92,okef/btc.usd.n,7807.61,7785.88,7791.26,,2019-06-05T21:30:00+08:00,1559741400,1876
3,7791.91,okef/btc.usd.n,7793.93,7762.21,7790.86,,2019-06-05T21:45:00+08:00,1559742300,2850
4,7795.82,okef/btc.usd.n,7813.82,7787.9,7794.45,,2019-06-05T22:00:00+08:00,1559743200,4284
5,7761.28,okef/btc.usd.n,7790.77,7732.95,7790.77,,2019-06-05T22:15:00+08:00,1559744100,4157
6,7693.38,okef/btc.usd.n,7775.1,7693.37,7761.4,,2019-06-05T22:30:00+08:00,1559745000,6685
7,7706.45,okef/btc.usd.n,7718.43,7660.34,7693.46,,2019-06-05T22:45:00+08:00,1559745900,5412
8,7712.73,okef/btc.usd.n,7729.4,7686.53,7706.45,,2019-06-05T23:00:00+08:00,1559746800,5967
9,7653.07,okef/btc.usd.n,7716.68,7635.0,7716.16,,2019-06-05T23:15:00+08:00,1559747700,10025
10,7658.64,okef/btc.usd.n,7663.57,7559.99,7656.84,,2019-06-05T23:30:00+08:00,1559748600,15418
11,7656.17,okef/btc.usd.n,7692.45,7645.92,7664.95,,2019-06-05T23:45:00+08:00,1559749500,4209
12,7710.61,okef/btc.usd.n,7725.8,7652.33,7654.42,,2019-06-06T00:00:00+08:00,1559750400,3828
13,7762.23,okef/btc.usd.n,7774.99,7709.21,7709.21,,2019-06-06T00:15:00+08:00,1559751300,6226
14,7783.18,okef/btc.usd.n,7783.18,7744.34,7758.97,,2019-06-06T00:30:00+08:00,1559752200,4923
15,7773.65,okef/btc.usd.n,7797.1,7756.62,7782.0,,2019-06-06T00:45:00+08:00,1559753100,5151
16,7750.2,okef/btc.usd.n,7776.63,7737.77,7769.14,,2019-06-06T01:00:00+08:00,1559754000,3363
17,7795.45,okef/btc.usd.n,7801.0,7746.35,7746.36,,2019-06-06T01:15:00+08:00,1559754900,2671
18,7846.59,okef/btc.usd.n,7850.0,7794.95,7794.95,,2019-06-06T01:30:00+08:00,1559755800,5514
19,7815.72,okef/btc.usd.n,7850.83,7791.2,7845.89,,2019-06-06T01:45:00+08:00,1559756700,3843
20,7790.27,okef/btc.usd.n,7826.94,7786.77,7819.06,,2019-06-06T02:00:00+08:00,1559757600,3805
21,7801.57,okef/btc.usd.n,7811.28,7775.36,7791.83,,2019-06-06T02:15:00+08:00,1559758500,2778
22,7758.86,okef/btc.usd.n,7814.69,7750.97,7807.23,,2019-06-06T02:30:00+08:00,1559759400,6176
23,7781.08,okef/btc.usd.n,7788.19,7761.2,7761.2,,2019-06-06T02:45:00+08:00,1559760300,2777
24,7845.33,okef/btc.usd.n,7874.72,7784.6,7784.82,,2019-06-06T03:00:00+08:00,1559761200,5132
25,7845.18,okef/btc.usd.n,7848.25,7810.12,7845.06,,2019-06-06T03:15:00+08:00,1559762100,3166
26,7799.88,okef/btc.usd.n,7861.31,7793.44,7850.48,,2019-06-06T03:30:00+08:00,1559763000,4817
27,7807.78,okef/btc.usd.n,7831.44,7804.65,7804.65,,2019-06-06T03:45:00+08:00,1559763900,2490
28,7845.27,okef/btc.usd.n,7856.0,7804.46,7810.49,,2019-06-06T04:00:00+08:00,1559764800,3598
29,7802.87,okef/btc.usd.n,7945.0,7774.06,7846.28,,2019-06-06T04:15:00+08:00,1559765700,12154
30,7731.89,okef/btc.usd.n,7826.89,7731.09,7800.88,,2019-06-06T04:30:00+08:00,1559766600,10582
